"spec","lon","lat"
"prnana",19.375,-34.125
"prnana",19.125,-33.875
"prnana",18.875,-33.625
"prnana",19.125,-33.625
"prnana",19.125,-33.375
"prnana",19.375,-33.375
"prnana",18.375,-33.125
"prnana",19.125,-33.125
"prnana",19.375,-33.125
