Species,CenterX,CenterY
CEOR,-73.44109947,42.26173298
CEOR,-73.2744328,42.26173298
CEOR,-73.19109946,42.26173298
CEOR,-72.85776611,42.26173298
CEOR,-72.69109943,42.26173298
CEOR,-72.60776609,42.26173298
CEOR,-72.35776608,42.26173298
CEOR,-71.94109939,42.26173298
CEOR,-71.85776605,42.26173298
CEOR,-71.77443271,42.26173298
CEOR,-71.60776604,42.26173298
CEOR,-71.5244327,42.26173298
CEOR,-71.44109936,42.26173298
CEOR,-71.35776602,42.26173298
CEOR,-71.27443269,42.26173298
CEOR,-71.10776601,42.26173298
CEOR,-70.94109933,42.26173298
CEOR,-73.44109947,42.17839964
CEOR,-73.35776614,42.17839964
CEOR,-73.2744328,42.17839964
CEOR,-72.77443277,42.17839964
CEOR,-72.69109943,42.17839964
CEOR,-72.60776609,42.17839964
CEOR,-72.27443274,42.17839964
CEOR,-71.94109939,42.17839964
CEOR,-71.85776605,42.17839964
CEOR,-71.77443271,42.17839964
CEOR,-71.60776604,42.17839964
CEOR,-71.5244327,42.17839964
CEOR,-71.35776602,42.17839964
CEOR,-71.27443269,42.17839964
CEOR,-71.10776601,42.17839964
CEOR,-72.77443277,42.0950663
CEOR,-72.69109943,42.0950663
CEOR,-72.27443274,42.0950663
CEOR,-71.44109936,42.0950663
CEOR,-71.35776602,42.0950663
CEOR,-71.27443269,42.0950663
CEOR,-71.19109935,42.0950663
CEOR,-71.10776601,42.0950663
CEOR,-71.02443267,42.0950663
CEOR,-70.94109933,42.0950663
CEOR,-70.77443266,42.0950663
CEOR,-73.35776614,42.01173297
CEOR,-73.02443278,42.01173297
CEOR,-72.85776611,42.01173297
CEOR,-72.77443277,42.01173297
CEOR,-72.69109943,42.01173297
CEOR,-72.60776609,42.01173297
CEOR,-72.27443274,42.01173297
CEOR,-71.60776604,42.01173297
CEOR,-71.44109936,42.01173297
CEOR,-71.35776602,42.01173297
CEOR,-71.19109935,42.01173297
CEOR,-71.02443267,42.01173297
CEOR,-70.94109933,42.01173297
CEOR,-70.857766,42.01173297
CEOR,-70.02443262,42.01173297
CEOR,-72.94109945,41.92839963
CEOR,-72.85776611,41.92839963
CEOR,-72.52443276,41.92839963
CEOR,-71.44109936,41.92839963
CEOR,-70.02443262,41.92839963
CEOR,-73.44109947,41.84506629
CEOR,-73.2744328,41.84506629
CEOR,-72.94109945,41.84506629
CEOR,-72.85776611,41.84506629
CEOR,-72.77443277,41.84506629
CEOR,-72.69109943,41.84506629
CEOR,-72.60776609,41.84506629
CEOR,-72.52443276,41.84506629
CEOR,-72.27443274,41.84506629
CEOR,-72.1910994,41.84506629
CEOR,-72.10776607,41.84506629
CEOR,-72.02443273,41.84506629
CEOR,-71.94109939,41.84506629
CEOR,-71.5244327,41.84506629
CEOR,-71.35776602,41.84506629
CEOR,-70.02443262,41.84506629
CEOR,-69.94109928,41.84506629
CEOR,-73.52443281,41.76173295
CEOR,-73.44109947,41.76173295
CEOR,-73.2744328,41.76173295
CEOR,-73.19109946,41.76173295
CEOR,-72.94109945,41.76173295
CEOR,-72.85776611,41.76173295
CEOR,-72.77443277,41.76173295
CEOR,-72.69109943,41.76173295
CEOR,-72.60776609,41.76173295
CEOR,-72.52443276,41.76173295
CEOR,-72.35776608,41.76173295
CEOR,-72.27443274,41.76173295
CEOR,-72.1910994,41.76173295
CEOR,-72.10776607,41.76173295
CEOR,-71.77443271,41.76173295
CEOR,-71.5244327,41.76173295
CEOR,-71.27443269,41.76173295
CEOR,-70.69109932,41.76173295
CEOR,-69.94109928,41.76173295
CEOR,-73.52443281,41.67839961
CEOR,-73.44109947,41.67839961
CEOR,-73.35776614,41.67839961
CEOR,-72.69109943,41.67839961
CEOR,-72.60776609,41.67839961
CEOR,-72.52443276,41.67839961
CEOR,-72.44109942,41.67839961
CEOR,-72.35776608,41.67839961
CEOR,-72.27443274,41.67839961
CEOR,-72.10776607,41.67839961
CEOR,-71.85776605,41.67839961
CEOR,-71.69109938,41.67839961
CEOR,-71.60776604,41.67839961
CEOR,-71.44109936,41.67839961
CEOR,-71.35776602,41.67839961
CEOR,-70.52443264,41.67839961
CEOR,-70.19109929,41.67839961
CEOR,-69.94109928,41.67839961
CEOR,-73.52443281,41.59506628
CEOR,-73.35776614,41.59506628
CEOR,-73.2744328,41.59506628
CEOR,-72.69109943,41.59506628
CEOR,-72.60776609,41.59506628
CEOR,-72.10776607,41.59506628
CEOR,-71.77443271,41.59506628
CEOR,-71.69109938,41.59506628
CEOR,-71.60776604,41.59506628
CEOR,-71.35776602,41.59506628
CEOR,-71.27443269,41.59506628
CEOR,-71.19109935,41.59506628
CEOR,-71.02443267,41.59506628
CEOR,-70.94109933,41.59506628
CEOR,-70.857766,41.59506628
CEOR,-70.60776598,41.59506628
CEOR,-70.44109931,41.59506628
CEOR,-70.35776597,41.59506628
CEOR,-73.52443281,41.51173294
CEOR,-73.44109947,41.51173294
CEOR,-73.35776614,41.51173294
CEOR,-72.69109943,41.51173294
CEOR,-72.52443276,41.51173294
CEOR,-72.44109942,41.51173294
CEOR,-72.35776608,41.51173294
CEOR,-72.27443274,41.51173294
CEOR,-72.10776607,41.51173294
CEOR,-72.02443273,41.51173294
CEOR,-71.94109939,41.51173294
CEOR,-71.85776605,41.51173294
CEOR,-71.69109938,41.51173294
CEOR,-71.60776604,41.51173294
CEOR,-71.5244327,41.51173294
CEOR,-71.44109936,41.51173294
CEOR,-71.35776602,41.51173294
CEOR,-71.27443269,41.51173294
CEOR,-71.19109935,41.51173294
CEOR,-71.10776601,41.51173294
CEOR,-71.02443267,41.51173294
CEOR,-70.69109932,41.51173294
CEOR,-73.2744328,41.4283996
CEOR,-73.19109946,41.4283996
CEOR,-72.85776611,41.4283996
CEOR,-72.77443277,41.4283996
CEOR,-72.44109942,41.4283996
CEOR,-72.35776608,41.4283996
CEOR,-72.27443274,41.4283996
CEOR,-72.10776607,41.4283996
CEOR,-72.02443273,41.4283996
CEOR,-71.85776605,41.4283996
CEOR,-71.77443271,41.4283996
CEOR,-71.5244327,41.4283996
CEOR,-71.44109936,41.4283996
CEOR,-71.35776602,41.4283996
CEOR,-70.60776598,41.4283996
CEOR,-73.44109947,41.34506626
CEOR,-73.35776614,41.34506626
CEOR,-73.10776612,41.34506626
CEOR,-72.94109945,41.34506626
CEOR,-72.85776611,41.34506626
CEOR,-72.77443277,41.34506626
CEOR,-72.44109942,41.34506626
CEOR,-72.35776608,41.34506626
CEOR,-72.10776607,41.34506626
CEOR,-72.02443273,41.34506626
CEOR,-71.94109939,41.34506626
CEOR,-71.85776605,41.34506626
CEOR,-71.77443271,41.34506626
CEOR,-71.69109938,41.34506626
CEOR,-71.5244327,41.34506626
CEOR,-70.60776598,41.34506626
CEOR,-70.52443264,41.34506626
CEOR,-70.02443262,41.34506626
CEOR,-72.94109945,41.26173292
CEOR,-72.85776611,41.26173292
CEOR,-72.69109943,41.26173292
CEOR,-70.10776595,41.26173292
CEOR,-73.44109947,41.17839959
CEOR,-73.2744328,41.17839959
CEOR,-73.19109946,41.17839959
CEOR,-73.10776612,41.17839959
CEOR,-73.69109949,41.09506625
CEOR,-73.60776615,41.09506625
CEOR,-73.52443281,41.09506625
CEOR,-73.44109947,41.09506625
CEOR,-73.60776615,41.01173291
