Spp,POINT_X,POINT_Y
CEOR,139.46775,35.54965
CEOR,139.46775,35.63295
CEOR,139.46775,35.71625
CEOR,139.46775,35.79955
CEOR,139.46775,36.71585
CEOR,139.46775,36.79915
CEOR,139.46775,38.21525
CEOR,139.55105,35.71625
CEOR,139.55105,35.79955
CEOR,139.55105,36.71585
CEOR,139.55105,38.54845
CEOR,139.63435,35.38305
CEOR,139.63435,35.46635
CEOR,139.63435,35.63295
CEOR,139.63435,35.88285
CEOR,139.63435,38.21525
CEOR,139.71765,35.13315
CEOR,139.71765,35.88285
CEOR,139.71765,36.88245
CEOR,139.71765,38.38185
CEOR,139.71765,39.88125
CEOR,139.80095,34.96655
CEOR,139.80095,36.96575
CEOR,139.80095,39.88125
CEOR,139.80095,42.29695
CEOR,139.88425,35.13315
CEOR,139.88425,36.96575
CEOR,139.88425,37.04905
CEOR,139.88425,37.13235
CEOR,139.88425,39.13155
CEOR,139.88425,39.96455
CEOR,139.88425,42.46355
CEOR,139.96755,35.38305
CEOR,139.96755,35.79955
CEOR,139.96755,37.04905
CEOR,139.96755,37.13235
CEOR,139.96755,37.29895
CEOR,139.96755,40.38105
CEOR,139.96755,40.46435
CEOR,139.96755,41.63055
CEOR,140.05085,35.71625
CEOR,140.05085,39.21485
CEOR,140.13415,35.21645
CEOR,140.13415,36.21605
CEOR,140.13415,36.29935
CEOR,140.13415,41.88045
CEOR,140.21745,36.21605
CEOR,140.21745,40.21445
CEOR,140.30075,36.38265
CEOR,140.30075,36.96575
CEOR,140.30075,38.04865
CEOR,140.30075,40.63095
CEOR,140.30075,42.79675
CEOR,140.38405,35.29975
CEOR,140.38405,37.71545
CEOR,140.38405,38.21525
CEOR,140.38405,38.96495
CEOR,140.38405,43.21325
CEOR,140.46735,36.13275
CEOR,140.46735,37.54885
CEOR,140.46735,40.79755
CEOR,140.55065,35.96615
CEOR,140.55065,36.04945
CEOR,140.55065,36.21605
CEOR,140.55065,37.29895
CEOR,140.55065,37.96535
CEOR,140.55065,38.63175
CEOR,140.55065,40.79755
CEOR,140.55065,40.88085
CEOR,140.63395,35.96615
CEOR,140.63395,36.88245
CEOR,140.63395,37.54885
CEOR,140.63395,38.54845
CEOR,140.63395,39.71465
CEOR,140.63395,40.88085
CEOR,140.63395,42.63015
CEOR,140.71725,39.21485
CEOR,140.71725,39.54805
CEOR,140.71725,39.71465
CEOR,140.80055,38.21525
CEOR,140.80055,39.71465
CEOR,140.80055,40.04785
CEOR,140.80055,42.54685
CEOR,140.88385,40.88085
CEOR,140.88385,40.96415
CEOR,140.88385,41.46395
CEOR,140.88385,42.88005
CEOR,140.88385,43.21325
CEOR,140.96715,40.54765
CEOR,140.96715,41.46395
CEOR,140.96715,41.71385
CEOR,141.05045,39.96455
CEOR,141.05045,41.71385
CEOR,141.21705,39.29815
CEOR,141.30035,39.71465
CEOR,141.30035,40.38105
CEOR,141.38365,38.63175
CEOR,141.38365,39.71465
CEOR,141.38365,42.54685
CEOR,141.38365,42.96335
CEOR,141.38365,43.04665
CEOR,141.38365,43.62975
CEOR,141.38365,43.79635
CEOR,141.46695,38.96495
CEOR,141.46695,39.88125
CEOR,141.46695,40.04785
CEOR,141.63355,38.88165
CEOR,141.63355,39.79795
CEOR,141.71685,38.96495
CEOR,141.71685,39.46475
CEOR,141.71685,44.96255
CEOR,141.96675,39.88125
CEOR,141.96675,39.96455
CEOR,141.96675,43.04665
CEOR,142.05005,39.54805
CEOR,142.29995,42.96335
CEOR,142.46655,42.29695
CEOR,142.46655,42.88005
CEOR,142.96635,42.13035
CEOR,142.96635,42.96335
CEOR,143.21625,41.96375
CEOR,143.29955,42.88005
CEOR,143.79935,44.12955
CEOR,143.88265,43.62975
CEOR,143.96595,43.37985
CEOR,144.13255,43.04665
CEOR,144.21585,43.04665
CEOR,144.21585,43.96295
CEOR,144.29915,43.54645
CEOR,144.46575,43.04665
CEOR,144.46575,43.12995
CEOR,144.54905,42.96335
CEOR,144.71565,43.87965
