Species,Longitude,Latitude
CEOR,-71.52646,41.37818
CEOR,-71.507837,41.458435
CEOR,-71.507837,41.458435
CEOR,-71.507837,41.458435
CEOR,-72.692536,42.179042
CEOR,-73.23809,42.29077
CEOR,-71.332778,42.408056
CEOR,-71.3325,42.404444
CEOR,-72.77763,41.8604
CEOR,-72.77278,41.86891
CEOR,-72.77588,41.85503
CEOR,-72.77676,41.85732
CEOR,-72.7988,41.76675
CEOR,-72.79875,41.77713
CEOR,-72.79213,41.7886
CEOR,-72.79508,41.74773
CEOR,-73.4507,42.14487
CEOR,-71.8045,41.3305
CEOR,-71.80533,41.33233
CEOR,-71.80483,41.33233
CEOR,-71.71666,41.33216
CEOR,-71.66166,41.36766
CEOR,-71.66083,41.3685
CEOR,-71.84066,41.32783
CEOR,-71.84066,41.32683
CEOR,-71.66933,41.366
CEOR,-71.7205,41.33533
CEOR,-72.858611,42.298333
CEOR,-71.5855,41.1613
CEOR,-71.5811,41.1696
CEOR,-71.5811,41.1696
CEOR,-72.40853,43.643494
CEOR,-71.325,41.622222
CEOR,-71.324222,42.040376
CEOR,-71.2953,42.0667
CEOR,-73.475,41.7614
CEOR,-73.475,41.7614
CEOR,-73.4491,41.8605
CEOR,-73.4491,41.8605
CEOR,-73.4491,41.8605
CEOR,-73.4847,41.7728
CEOR,-71.2953,42.0667
CEOR,-73.357612,42.17759
CEOR,-71.70883,41.5877
CEOR,-71.71165,41.62568
CEOR,-71.71321,41.62445
CEOR,-71.71205,41.62848
CEOR,-72.237153,41.797318
CEOR,-71.7117,41.62668
CEOR,-71.68917,41.55909
CEOR,-71.71136,41.62608
CEOR,-71.6894,41.5578
CEOR,-71.98271,41.85916
CEOR,-72.443143,42.697306
CEOR,-72.4454,42.6783
CEOR,-72.436198,42.715639
CEOR,-72.445921,42.697584
CEOR,-72.450643,42.70314
CEOR,-72.473143,42.671751
CEOR,-72.472032,42.673973
CEOR,-72.446754,42.718695
CEOR,-70.771421,42.573925
CEOR,-70.811393,42.604945
CEOR,-71.14265,41.53543
CEOR,-71.14163,41.53651
CEOR,-71.19935,41.5923
CEOR,-71.20126,41.59471
CEOR,-71.20161,41.59506
CEOR,-71.2009,41.59191
CEOR,-71.19845,41.59368
CEOR,-71.19838,41.5934
CEOR,-71.20018,41.59445
CEOR,-71.19883,41.59185
CEOR,-71.1993,41.59116
CEOR,-71.2009,41.5917
CEOR,-71.20633,41.59313
CEOR,-71.20646,41.59288
CEOR,-71.20958,41.5936
CEOR,-71.20905,41.54496
CEOR,-71.446389,41.641389
CEOR,-71.445556,41.641111
CEOR,-71.4275,41.668889
CEOR,-71.436389,41.666389
CEOR,-71.457778,41.703056
CEOR,-71.436389,41.665556
CEOR,-72.307,41.87669
CEOR,-72.0669,41.4609
CEOR,-72.0177,41.48025
CEOR,-72.0128,41.4785
CEOR,-68.1949,44.3739
CEOR,-72.077,41.4758
CEOR,-72.0758,41.4805
CEOR,-72.111,41.378
